task_name,task_type,variant_name,display_name_cn,source_variant,component,ablation_group,feature_family,protocol,leakage_safe,primary_metric_name,primary_metric_value,primary_metric_std,metric_direction,delta_vs_full,relative_delta_percent,seed_count,valid_fold_count,split_strategy,evidence_layer,metric_definition,task_name_cn,direction,normalized_delta_vs_full,display_variant,display_variant_cn,report_protocol_cn,task_adapter_note_cn,variant_role,source_path,top1_accuracy,top3_accuracy,top5_accuracy,mrr,positive_similarity_mean,negative_similarity_mean,valid_query_count,candidate_count,candidate_pool_policy
T1_maneuver_intensity_class,classification,continuous_dual_state,双流连续表示,f_full,continuous_state_backbone,model_backbone,dual_projection,leakage_safe_v1,True,macro_f1,0.2766045548654244,0.0,higher_is_better,-0.10327122153209106,-59.57955088389869,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,-1.0,双流连续表示,双流连续表示,严格评价协议,,reference_baseline,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,continuous_dual_state,双流连续表示,f_full,continuous_state_backbone,model_backbone,dual_projection,leakage_safe_v1,True,rmse,498.66241860168594,6.355287432313019e-14,lower_is_better,-364.03175625623663,-42.19708059535572,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,-0.15047072424369567,双流连续表示,双流连续表示,严格评价协议,,reference_baseline,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,continuous_dual_state,双流连续表示,f_full,continuous_state_backbone,model_backbone,dual_projection,leakage_safe_v1,True,top1_accuracy,0.06756756756756757,0.0,higher_is_better,-0.04054054054054054,-150.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,-1.0,双流连续表示,双流连续表示,严格评价协议,,reference_baseline,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,0.06756756756756757,0.12162162162162163,0.17567567567567569,0.15295949410099255,0.16309382826895327,0.15552171116608107,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,rmse,862.6941748579226,0.0,lower_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,top1_accuracy,0.02702702702702703,0.0,higher_is_better,0.0,0.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953,0.10666953993810188,0.10147719862157698,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,full_model,完整方案,chronaris_opt,full_model,model_backbone,full_safe,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,完整方案,完整方案,严格评价协议,,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,full_model,完整方案,chronaris_opt,full_model,model_backbone,full_safe,leakage_safe_v1,True,rmse,862.6941748579226,0.0,lower_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,0.0,完整方案,完整方案,严格评价协议,,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,full_model,完整方案,chronaris_opt,full_model,model_backbone,full_safe,leakage_safe_v1,True,top1_accuracy,0.02702702702702703,0.0,higher_is_better,0.0,0.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,0.0,完整方案,完整方案,严格评价协议,,full_candidate,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953,0.10666953993810188,0.10147719862157698,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,naive_time_sync,朴素时间同步,f_full,naive_time_sync,model_backbone,dual_projection,leakage_safe_v1,True,macro_f1,0.2766045548654244,0.0,higher_is_better,-0.10327122153209106,-59.57955088389869,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,-1.0,朴素时间同步,朴素时间同步,严格评价协议,,reference_baseline,docs/artifacts/assets/stage_i_private_leakage_safe_ablation/20260619T-stage-i-leakage-safe-ablation-r2/ablation_summary.json,,,,,,,,,
